Name,RAdeg,DEdeg,z,SiIV-BI,SiIV-BIO,SiIV-EW,SiIV-vmin,SiIV-vmax,SiIV-fdeep,CIV-BI,CIV-BIO,CIV-EW,CIV-vmin,CIV-vmax,CIV-fdeep,AlIII-BI,AlIII-BIO,AlIII-EW,AlIII-vmin,AlIII-vmax,AlIII-fdeep,MgII-BI,MgII-BIO,MgII-EW,MgII-vmin,MgII-vmax,MgII-fdeep,SiIV-EmL,CIV-EmL,AlIII-EmL,MgII-EmL,SiIV-BMBB,CIV-BMBB,AlIII-BMBB,MgII-BMBB,CIV4-BWA,SN1700,logF1400,logF2500,ra,dec,mjd,plate,fiberid,Separation
000056.89-010409.7,0.237056,-1.069386,2.11,842.1,1504.2,-12.5,-2214,-6700,0.65,1355.5,2353.8,-20.7,-1497,-8605,0.56,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,0,0,0,0,0,,,0,4.7,-27.51,-27.15,0.23714343,-1.0693223,51791,387,98,0.3893834377458968
000103.85-104630.3,0.266058,-10.775086,2.08,0.0,0.0,0.0,,,,0.0,278.7,-6.2,-1146,-4322,0.28,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,17.7,-26.91,-26.7,0.26606394,-10.775073,52143,650,133,0.05129846826768047
000119.64+154828.8,0.331834,15.808002,1.92,2017.5,2017.5,-13.4,-7553,-13344,0.56,5171.9,5171.9,-33.7,-3730,-15383,0.7,115.1,115.1,-4.3,-9192,-12019,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,,0,8.4,-27.29,-27.04,0.33183565,15.807995,52235,750,566,0.025839992541123215
000303.35-105150.6,0.763963,-10.864074,3.65,0.0,0.0,0.0,,,,729.2,771.2,-17.8,-2859,-24000,0.16,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,1,,,0,6.7,-27.18,,0.76394295,-10.864079,52143,650,48,0.07313597522312242
000342.08+153628.7,0.925351,15.607983,1.57,,,,,,,0.0,426.3,-6.5,-2020,-4850,0.51,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.6,,-27.05,0.92536134,15.60798,52235,750,615,0.037442764704833244
000510.88-091400.0,1.295341,-9.233357,1.54,,,,,,,2.2,2.2,-3.5,-7095,-9164,0.07,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.4,,-27.02,1.2953407,-9.233349,52143,650,613,0.028819721883275428
000913.76-095754.5,2.30737,-9.965151,2.07,371.8,371.8,-5.2,-3179,-6905,0.04,1047.7,1604.6,-13.3,-1081,-7637,0.22,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,1,0,0,0,0,,,0,9.2,-27.11,-26.87,2.3073519,-9.9650679,52141,651,519,0.305966316308151
001025.90+005447.6,2.607954,0.913245,2.85,1660.6,1660.6,-12.2,-6759,-12895,0.3,2427.3,2427.3,-22.6,-7146,-17413,0.42,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,11.3,-27.16,,2.6080669,0.91322377,51795,389,332,0.41351269500525195
001130.55+005550.7,2.877324,0.930756,2.31,0.0,0.0,0.0,,,,315.5,917.7,-12.4,-1409,-6309,0.45,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,12.0,-27.08,-26.73,2.8773745,0.93077203,51795,389,339,0.19071636510596035
001408.22-085242.2,3.534266,-8.878405,1.74,,0.0,0.0,,,,733.7,1675.9,-17.4,-1848,-5988,0.95,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,5.6,-27.56,-26.88,3.5342819,-8.8783869,52138,652,363,0.08627976799956683
